戴家巷老街区—临江路46、48号修缮工程中标结果公告,四川岳鑫建设工程有限公司,四川岳鑫建设工程有限公司,1691.446466,"
				                【信息时间：2019-01-07】【字号 "
丰都县城镇排水设施工程勘察设计中标结果公告,招标代理机构：,重庆大学建筑规划设计研究总院有限公司、重庆市勘测院,472.53,"
				                【信息时间：2019-01-07】【字号 "
黔江区检察院技术办案用房内装修工程（二次）招标公告中标结果公告,重庆市黔江区城市建设投资（集团）有限公司,重庆和博建筑工程有限公司,799.88601,"
				                【信息时间：2019-01-07】【字号 "
垫江县桂西大道南延伸段、新华街南延伸段及天竹路和天兰路、文化路片区道路工程地勘（第二次）中标结果公告,重庆广驰置业有限公司,重庆中科勘测设计有限公司,61,"
				                【信息时间：2019-01-07】【字号 "
江津区四面山旅游特色小镇康养片区项目全过程造价控制中标结果公告,招标代理机构,重庆永鑫工程项目管理有限公司,取费比例：,"
				                【信息时间：2019-01-07】【字号 "
巴南区南部高山避暑休闲旅游带（百合子至圣灯山段）—圣灯路施工监理中标结果公告,招标代理机构：,重庆市开元交通科技咨询有限公司,134.8500,"
				                【信息时间：2019-01-07】【字号 "
江津党校改建工程及华信学苑宾馆改扩建工程可研、勘察、设计中标结果公告,中共庆市江津区委党校、重庆市江津区江鼎实业发展有限公司,重庆市设计院,172,"
				                【信息时间：2019-01-07】【字号 "
中船重工重庆长平机械有限责任公司“三供一业”供水职能移交改造项目--二供设备及平台采购、安装,,,,"
				                【信息时间：2019-01-08】【字号 "
万州区2018年第二批财政涉农资金“四好农村路”弹子镇新袁村、插旗村、林泉村通组公路建设工程,,,,"
				                【信息时间：2019-01-08】【字号 "
重庆三峡职业学院2号实训楼、风雨操场勘察（第二次）,,,,"
				                【信息时间：2019-01-08】【字号 "
开县文峰街道木桥村精准帮扶实施方案（二期工程）中标结果公告, ,江西骏亿建设工程有限公司,1273849.79,"
				                【信息时间：2019-01-08】【字号 "
忠县黄金镇大山村农村移民安置区精准帮扶项目（水池及管网建设）中标结果公告,忠县黄金镇人民政府,四川实顺建筑工程有限公司,118.266241,"
				                【信息时间：2019-01-08】【字号 "
统景镇周家湾危岩带及滑坡地质灾害应急治理工程（第二次）施工招标中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
重庆市长寿区看守所、拘戒所武警中队房屋维修改造项目中标结果公告,招标代理机构：,重庆市万州区文华建筑工程有限公司,520.563647,"
				                【信息时间：2019-01-08】【字号 "
2018年四好农村路王高路、张玉路改造工程一 标段（第二次）中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
2018年兴隆镇“四好农村路”（通组泥结石公路）建设工程(一标段)中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
2018年兴隆镇“四好农村路”（通组泥结石公路）建设工程（二标段）中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
2018年兴隆镇“四好农村路”（通组泥结石公路）建设工程（三标段）中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
2018年兴隆镇“四好农村路”（通组泥结石公路）建设工程（四标段）中标结果公告,,,,"
				                【信息时间：2019-01-08】【字号 "
重庆轨道交通六号线支线二期系统设备监理项目（第二次）的中标结果公告,招标代理机构（公章）:四川川咨建设工程咨询有限责任公司,中铁华铁工程设计集团有限公司、重庆大地建设监理有限责任公司（联合体） ,16650036元,"
				                【信息时间：2019-01-08】【字号 "
万州区长滩镇2018年第二批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2019-01-09】【字号 "
万州区2018年第二、三批“四好农村路”通组公路建设项目-龙都街道办事处三吉村山坪梁路、金港社区沙沿路硬化工程,,,,"
				                【信息时间：2019-01-09】【字号 "
万州诗仙太白酒业公司废水综合处理迁改工程,,,,"
				                【信息时间：2019-01-09】【字号 "
酉阳县万木乡卫生院环境整治项目中标结果公告,招标代理机构：北京希地环球建设工程顾问有限公司, ,437.1489,"
				                【信息时间：2019-01-09】【字号 "
重庆市武陵监狱房屋装修工程中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,重庆对外建设（集团）有限公司,1082.848114,"
				                【信息时间：2019-01-09】【字号 "
双桥溪景观桥工程勘察设计（第三次）中标结果公告,,,,"
				                【信息时间：2019-01-09】【字号 "
万州区南京幼儿园改扩建工程,,,,"
				                【信息时间：2019-01-10】【字号 "
潼南区双江镇龙门村产业便道及水池项目、潼南区双江镇老关村道路硬化项目、潼南区双江镇龙门社区道路建设工程、双江镇双林村6社王家湾至李家湾道路硬化工程中标结果公告,重庆市潼南区双江镇人民政府,流标,/ ,"
				                【信息时间：2019-01-10】【字号 "
长寿区凤城街道黄桷湾移民小区综合帮扶项目（改造部分）中标结果公告,招标代理机构：,, 692.427272,"
				                【信息时间：2019-01-10】【字号 "
酉阳县渤海初级中学校扩建工程建设项目监理中标结果公告,招标代理机构：,重庆同致诚工程咨询有限公司,244.1626,"
				                【信息时间：2019-01-10】【字号 "
重庆市开州区大进镇巴渠河综合治理工程（上段一期）(第二次）中标结果公告, ,日昌（福建）集团有限公司,11913491.84,"
				                【信息时间：2019-01-11】【字号 "
忠县黄金镇大山村农村移民安置区精准帮扶项目（公共服务中心建设）中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆今夕建筑工程有限公司,197.766356,"
				                【信息时间：2019-01-11】【字号 "
潼南区上和镇公共服务中心改建工程中标结果公告,招标代理机构：河南省光大建设管理有限公司,重庆志搏建筑工程有限公司 ,171,"
				                【信息时间：2019-01-11】【字号 "
忠县洋渡镇花岭村、蒲家村农村移民安置区精准帮扶项目花岭村公路改造工程中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆隆盛建设工程有限公司,1015.5018,"
				                【信息时间：2019-01-11】【字号 "
彭水电视台室内装饰和功能房装饰装修工程的中标结果公告,废标原因,重庆和博建筑工程有限公司,1562.138646,"
				                【信息时间：2019-01-11】【字号 "
开州区云枫街道移民安置小区综合帮扶项目（平桥等小区背街小巷车行、人行道整治）监理中标结果公告,招标代理机构：重庆航景工程咨询有限公司,重庆智能工程监理有限公司,,"
				                【信息时间：2019-01-14】【字号 "
开州区巫山镇雨污分流改造项目监理中标结果公告,招标代理机构：,重庆渝兴建设工程咨询有限公司,工程施工结算投资额的2.2%,"
				                【信息时间：2019-01-14】【字号 "
开州区巫山镇雨污分流改造项目监理中标结果公告,招标代理机构：,重庆渝兴建设工程咨询有限公司,工程施工结算投资额的2.2%,"
				                【信息时间：2019-01-14】【字号 "
开州区巫山镇雨污分流改造项目监理中标结果公告,招标代理机构：,重庆渝兴建设工程咨询有限公司,工程施工结算投资额的2.2%,"
				                【信息时间：2019-01-14】【字号 "
小坝二级水库生态渔业示范基地工程（一期）中标结果公告,招标代理机构：重庆市弘禹水利咨询有限公司 ,重庆毕汇建设工程有限公司 ,599.497995 ,"
				                【信息时间：2019-01-14】【字号 "
白沙镇旱厕改造工程一期中标结果公告,项目实施人：重庆市江津区白沙镇人民政府,重庆市鑫斯阳环境建设工程有限公司,3289390.75,"
				                【信息时间：2019-01-14】【字号 "
跳蹬河湿地公园设计中标结果公告,,,,"
				                【信息时间：2019-01-14】【字号 "
鼎山片区老旧楼院的外墙立面、管网、楼顶改造整治工程中标结果公告,招标代理机构：,重庆祺洋建筑工程有限公司,4615689.14,"
				                【信息时间：2019-01-14】【字号 "
长寿区渡舟专业市场南北中路、横三路与纵次一路互通式立交工程监理中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,浙江工正工程管理有限公司,,"
				                【信息时间：2019-01-14】【字号 "
文复乡安置点周边附属基础设施建设项目工程（第二次）中标结果公告,招标代理机构：,四川仁湖建筑工程有限公司,507.760156,"
				                【信息时间：2019-01-15】【字号 "
万州区2018年财政涉农资金“四好农村路”通组公路建设项目-钟鼓楼街道办事处大团村通组公路硬化工程施工,,,,"
				                【信息时间：2019-01-16】【字号 "
万州区走马镇2018年第一批财政涉农资金“四好农村路”通组公路建设项目,,,,"
				                【信息时间：2019-01-16】【字号 "
万州区分水镇大兴村(莫家湾至大石板段道路)农村公路升级改造项目,,,,"
				                【信息时间：2019-01-16】【字号 "
万州区孙家镇2018年第二批财政涉农资金“四好农村路”通组公路建设项目,,,,"
				                【信息时间：2019-01-16】【字号 "
万州区2018年第一批财政涉农资金农村公路加宽改造项目—郭村镇瑞池至分水镇三元公路加宽改造项目,,,,"
				                【信息时间：2019-01-16】【字号 "
万州长江公路三桥（牌楼长江大桥）主桥技术总结,,,,"
				                【信息时间：2019-01-16】【字号 "
奉节县易地扶贫搬迁融资资金朱衣镇砚瓦村道路油化工程中标结果公告,重庆奉节路桥有限公司,江西亿嘉路桥工程有限公司,923,"
				                【信息时间：2019-01-16】【字号 "
忠县洋渡镇花岭村、蒲家村农村移民安置区精准帮扶项目蒲家村公路改造工程中标结果公告,忠县洋渡镇人民政府,重庆隆盛建设工程有限公司,800.5896,"
				                【信息时间：2019-01-16】【字号 "
奉节县白帝镇八阵村农村移民安置区精准帮扶中标结果公告,奉节县白帝镇人民政府,中标金额（元）,12132103.96,"
				                【信息时间：2019-01-16】【字号 "
南岸区精神卫生中心建设工程监理中标结果公告,招标代理机构（公章）,重庆泓展建设工程咨询有限公司,1.5%,"
				                【信息时间：2019-01-16】【字号 "
金石一支路工程（重新公示）中标结果公告,重庆北部农业开发（集团）有限公司,,,"
				                【信息时间：2019-01-16】【字号 "
重庆市万州区第一人民医院门诊住院综合楼附属工程,,,,"
				                【信息时间：2019-01-17】【字号 "
重庆珞璜污泥处置中心工程土建施工中标结果公告,招标代理机构：,中冶建工集团有限公司,28083661.90,"
				                【信息时间：2019-01-17】【字号 "
轨道交通5号线跳磴至江津段中梁山隧道水文地质监测中标结果公告,招标代理机构：河南省光大建设管理有限公司,重庆市地质矿产勘查开发局南江水文地质工程地质队,197.8,"
				                【信息时间：2019-01-17】【字号 "
朵力.迎宾大道F6—2地块B1#楼—B4#楼、B11#楼塑钢门窗、彩色铝合金百叶及彩色铝合金栏杆供货与安装工程中标结果公告,招标代理机构：,重庆饰迩建材有限公司,￥,"
				                【信息时间：2019-01-17】【字号 "
长寿物联网应用示范基地机房工程施工监理中标结果公告,重庆盈地实业（集团）有限公司,武汉宏宇建设工程咨询有限公司,31.80,"
				                【信息时间：2019-01-17】【字号 "
长寿物联网应用示范基地机房工程中标结果公告,重庆盈地实业（集团）有限公司,重庆营兴实业有限公司,6508.888888,"
				                【信息时间：2019-01-17】【字号 "
万州区太龙镇2018年第二批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2019-01-18】【字号 "
潼南高新区北区大溪沟景观公园（防护隔离带）工程中标结果公告,招标代理机构：万锦建设集团有限公司,重庆圣通市政园林建设有限公司,2353,"
				                【信息时间：2019-01-18】【字号 "
长寿区马家沟垃圾二次转运站土建工程中标结果公告,重庆市环卫集团有限公司,重庆天生建设工程有限公司,2068,"
				                【信息时间：2019-01-18】【字号 "
杨家坪商圈核心区城市品质提升项目设计中标结果公告,得分,中机中联工程有限公司、广州市城市规划勘测设计研究院、上海千年城市规划工程设计股份有限公司（联合体）,,"
				                【信息时间：2019-01-18】【字号 "
酉阳县泔溪镇卫生院业务综合楼及环境整治项目中标结果公告,招标代理机构：北京希地环球建设工程顾问有限公司,重庆市富正建筑工程有限公司,546,"
				                【信息时间：2019-01-18】【字号 "
忠县复兴镇半边街搬迁及安置区3#楼工程中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆市重强建筑工程有限公司,310.0768,"
				                【信息时间：2019-01-18】【字号 "
忠县甘井河流域农业面源污染综合治理项目（白石镇）中标结果公告,忠县白石镇人民政府,四川实顺建筑工程有限公司,"402.654662
      ","
				                【信息时间：2019-01-18】【字号 "
重庆市万州区港口航务管理局、长江航运公安局万州分局水上支持保障系统业务用房联建楼监理,,,,"
				                【信息时间：2019-01-21】【字号 "
万州区2018年财政涉农资金“四好公路”通组公路龙沙镇路面硬化工程,,,,"
				                【信息时间：2019-01-21】【字号 "
万州区2018年财政涉农资金“四好农村路”通组公路建设项目甘宁镇桐坪村、新农村、高梁村、公碑村通组公路硬化工程（第二次）,,,,"
				                【信息时间：2019-01-21】【字号 "
万州区2018年 第三批“四好农村路”(通组公路)通畅工程建设项目-弹子镇新袁村通组公路硬化工程,,,,"
				                【信息时间：2019-01-21】【字号 "
秀山工业园区天桥支路工程中标结果公告,招标代理机构：四川大家工程项目管理有限公司,重庆翔宇市政工程有限责任公司 ,755.937978 ,"
				                【信息时间：2019-01-21】【字号 "
渝北区两岔水库库区大湾镇杨家河渡改公路桥工程（第四次）中标结果公告,,,,"
				                【信息时间：2019-01-21】【字号 "
2018年四好农村路（三河村龙家槽公路工程）中标结果公告,废标原因,,107.902333,"
				                【信息时间：2019-01-21】【字号 "
红宝陵园二期工程中标结果公告,招标代理机构：大地工程咨询有限公司 ,重庆福开建设工程有限公司,2554.139019,"
				                【信息时间：2019-01-21】【字号 "
新增千亿斤粮食生产能力规划垫江县2018年田间工程建设项目(第二次）1标段中标结果公告,垫江县农业技术推广站,重庆市南川区东方红建筑工程公司,176.629028,"
				                【信息时间：2019-01-21】【字号 "
新增千亿斤粮食生产能力规划垫江县2018年田间工程建设项目(第二次）2标段中标结果公告,垫江县农业技术推广站,重庆市南川区东方红建筑工程公司,176.629028,"
				                【信息时间：2019-01-21】【字号 "
新增千亿斤粮食生产能力规划垫江县2018年田间工程建设项目(第二次）3标段中标结果公告,垫江县农业技术推广站,重庆市南川区东方红建筑工程公司,176.629028,"
				                【信息时间：2019-01-21】【字号 "
酉州新城综合管廊项目和酉阳县小坝片区桃源路道路工程中标结果公告,酉阳桃花源旅游地产开发有限责任公司,江苏建航工程有限公司,9051.681507,"
				                【信息时间：2018-12-21】【字号 "
忠县红星移民小区综合帮扶项目（滨江路市民休闲广场绿化景观工程）中标结果公告,重庆市忠县融通移民资产管理有限公司,重庆今夕建筑工程有限公司,198.201556,"
				                【信息时间：2018-12-17】【字号 "
朝天门片区环境综合整治-新华路下段及朝千路部分老旧楼宇环境综合整治中标结果公告,重庆市渝中区人民政府朝天门街道办事处,重庆金渝建设,9212744.39,"
				                【信息时间：2018-12-17】【字号 "
2018 年上海市对口支援万州区双河口街道永清村产业基地道路改扩建及硬化工程,,,,"
				                【信息时间：2018-12-14】【字号 "
奉节县2018年新民镇新民村通组通畅工程中标结果公告,奉节县新民镇人民政府,四川省天磊迅建筑工程有限公司,2437678.00,"
				                【信息时间：2018-12-10】【字号 "
重庆市北碚区东阳街道力明路、寨石路改建工程（第二次）中标结果公告,招标代理机构：,四川双果公路工程有限公司, 319.680661,"
				                【信息时间：2018-12-05】【字号 "
奉节县生活垃圾应急填埋场建设工程勘察中标结果公告,奉节县环境卫生管理所,重庆中科勘测设计有限公司,75.55,"
				                【信息时间：2018-12-04】【字号 "
沐仙湖公园改造工程中标结果公告,重庆市渝北区公园管理处,, ,"
				                【信息时间：2018-12-03】【字号 "
秀山县独立工矿区平凯片区秀南大道（马西河至黄杨大道段）、秀山县雷家河片区滨江路（环城东路至黄杨大桥段）建设项目设计中标结果公告,招标代理机构：中科高盛咨询集团有限公司,重庆西恒工程咨询有限公司,91.985066,"
				                【信息时间：2018-12-03】【字号 "
全区乡村隐患排查治理工程中标结果公告,招标代理机构：,四川川亿建筑工程有限公司,423.679783 ,"
				                【信息时间：2018-12-03】【字号 "
2017年渝北区外墙砖脱落整治项目（宝圣湖街道佳鑫花园）中标结果公告,,,,"
				                【信息时间：2018-12-03】【字号 "
2017年渝北区外墙砖脱落整治项目（宝圣湖街道小家碧玉）中标结果公告,,,,"
				                【信息时间：2018-12-03】【字号 "
万州区2018年第一批财政涉农资金“四好农村路”通组公路建设项目白羊镇清潭等村通组公路硬化工程,,,,"
				                【信息时间：2018-12-04】【字号 "
重庆市万州食品药品检验实验楼迁扩建项目装饰装修工程,,,,"
				                【信息时间：2018-12-04】【字号 "
新建两江小学B校区及环湖雅居B区农转城安置房30号楼幼儿园工程中标结果公告,,,,"
				                【信息时间：2018-12-04】【字号 "
长寿区龙河镇行政村主干“四好农村路”合兴至龙河环线（合兴至龙河段）公路改造工程中标结果公告,招标代理机构,四川泓芸建筑工程有限公司,2560.60337,"
				                【信息时间：2018-12-04】【字号 "
横一路工程中标结果公告,,,,"
				                【信息时间：2018-12-04】【字号 "
奉节县生活垃圾应急填埋场建设工程设计中标结果公告,奉节县环境卫生管理所,中铁十一局集团第五工程有限公司,79.80,"
				                【信息时间：2018-12-04】【字号 "
重庆市轨道交通一号线朝天门车站及区间剩余工程（铺轨工程、风水电安装及装修工程（含供货））的中标结果公告,招标代理机构（公章）,中铁十一局集团有限公司, ,"
				                【信息时间：2018-12-04】【字号 "
万州区普子乡2018年第一批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2018-12-05】【字号 "
万盛经开区为民服务场所装修项目中标结果公告,招标代理机构：重庆渝奥工程项目管理有限公司,中澳建工集团有限公司,16932348.32,"
				                【信息时间：2018-12-05】【字号 "
前沿科技城商务中心平场土石方及支挡工程中标结果公告,,,,"
				                【信息时间：2018-12-05】【字号 "
前沿产业园标准厂房（二期）配套用房工程（平场土石方及支挡工程）中标结果公告,,,,"
				                【信息时间：2018-12-05】【字号 "
酉阳县泔溪镇 “四好农村路”通畅工程（泔溪村2组小院子—黄家坝2组）中标结果公告,酉阳土家族苗族自治县泔溪镇人民政府 ,安徽煜地建设工程有限责任公司,476.2917,"
				                【信息时间：2018-12-05】【字号 "
忠县白公街道银山村硬化道路改造工程中标结果公告,招标代理机构：四川明力建设工程项目管理有限公司,重庆市重强建筑工程有限公司,416.2523 ,"
				                【信息时间：2018-12-05】【字号 "
万州区2018年第一批财政涉农资金“四好农村路”通组公路建设项目余家镇关龙村通组公路硬化工程,,,,"
				                【信息时间：2018-12-06】【字号 "
万州区长岭镇安溪村乡村旅游基础设施建设项目,,,,"
				                【信息时间：2018-12-06】【字号 "
万州经开区五桥生态工业园回龙、天星社区公共配套设施项目地质勘察,,,,"
				                【信息时间：2018-12-06】【字号 "
重庆市开州区高桥场镇供水管网改造工程中标结果公告,招标代理机构：,江西中环建设集团有限公司,354.778875,"
				                【信息时间：2018-12-06】【字号 "
忠县洋渡镇沿江村农村移民安置区精准帮扶项目道路工程中标结果公告,忠县洋渡镇人民政府,重庆市金科建筑工程有限责任公司,732.3104,"
				                【信息时间：2018-12-06】【字号 "
珞璜工业园绕城南片区十字干道（马南大道、南区大道）道路工程一期监理中标结果公告,招标代理机构：,深圳市昊源建设监理有限公司,89,"
				                【信息时间：2018-12-06】【字号 "
英利片区绿地建设一、二期项目中标结果公告,招标代理机构：重庆,江西旺达建设工程有限公司,1111.280914,"
				                【信息时间：2018-12-06】【字号 "
开州区义和镇雨污分流改造项目监理中标结果公告, ,四川同创建设工程管理有限公司,,"
				                【信息时间：2018-12-06】【字号 "
重庆市万州食品药品检验实验楼迁扩建项目装饰装修工程监理,,,,"
				                【信息时间：2018-12-07】【字号 "
万州江南新区沱口凉水井统建还房幼儿园操场工程边坡支护,,,,"
				                【信息时间：2018-12-07】【字号 "
万州区长滩镇2018年第一批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2018-12-07】【字号 "
双江特色小镇双江老街外墙立面风貌整治项目中标结果公告,招标代理机构：重庆方园招标代理有限公司,重庆博野建筑工程有限公司,1037.808348,"
				                【信息时间：2018-12-07】【字号 "
石宝镇临溪街区人行道改造工程中标结果公告,忠县石宝镇人民政府,重庆土尊建设工程有限公司,946.708561,"
				                【信息时间：2018-12-07】【字号 "
彭水县郁山镇大坝村土地整理项目B（第二次）中标结果公告,招标代理机构：重庆大成国地工程咨询有限公司 ,四川中科华联建设工程有限公司,218.83946,"
				                【信息时间：2018-12-07】【字号 "
潼南工业园区东区标准厂房建设工程中标结果公告,招标代理机构：河南省光大建设管理有限公司,重庆市博望建筑工程有限公司,15441,"
				                【信息时间：2018-12-07】【字号 "
中梁山隧道扩容（九龙坡区段）绿化景观项目中标结果公告,,,,"
				                【信息时间：2018-12-07】【字号 "
垫江县殡仪馆扩建工程（二期）装饰装修工程中标结果公告,招标代理机构：北京中招国发工程项目管理有限公司,重庆东桥建筑工程有限公司,457.469629,"
				                【信息时间：2018-12-07】【字号 "
重庆警察学院实验楼新增电梯工程--设备采购及安装（第三次）的中标结果公告,招标代理机构（公章）：,重庆市广城机电有限公司,350000,"
				                【信息时间：2018-12-07】【字号 "
重庆三峡医药高等专科学校校园扩建工程EPC总承包监理,,,,"
				                【信息时间：2018-12-10】【字号 "
2019年区元旦春节灯饰工程二标段中标结果公告,重庆市渝北区城市管理局,, ,"
				                【信息时间：2018-12-10】【字号 "
2019年区元旦春节灯饰工程一标段中标结果公告,重庆市渝北区城市管理局,, ,"
				                【信息时间：2018-12-10】【字号 "
空港园区A061-2号地块智能立体停车场中标结果公告,,,,"
				                【信息时间：2018-12-10】【字号 "
彭水县鹿鸣乡焦家坝村土地整理项目等2个土地整理项目中标结果公告,招标代理机构：四川大家工程项目管理有限公司,重庆筑力建筑工程有限公司,557.709872,"
				                【信息时间：2018-12-10】【字号 "
重庆市潼南区人民医院创建“三甲”医院建设项目地源热泵专项工程中标结果公告,重庆市潼南区人民医院,四川君虹建设工程有限公司,1562.365826 ,"
				                【信息时间：2018-12-10】【字号 "
重庆市梁平区人民法院第一人民法庭审判业务用房中标结果公告,招标代理机构：,重庆市万州三峡移民建筑工程有限公司　,372.570854,"
				                【信息时间：2018-12-10】【字号 "
奉节县2018年新民镇九树村通组通畅工程中标结果公告,奉节县新民镇人民政府,四川省天磊迅建筑工程有限公司,2437678.00,"
				                【信息时间：2018-12-10】【字号 "
德感工业园勤辉、华茂地块边坡整治工程施工中标结果公告,招标代理机构：重庆恒昶招标代理有限公司,重庆博大市政工程有限公司,337.256654,"
				                【信息时间：2018-12-10】【字号 "
统景镇回龙湾危岩带及滑坡地质灾害应急治理工程中标结果公告,,,,"
				                【信息时间：2018-12-10】【字号 "
国家环保产业发展重庆基地万州环保产业园1号路道路工程监理,,,,"
				                【信息时间：2018-12-11】【字号 "
重庆三峡职业学院2号实训楼、风雨操场设计,,,,"
				                【信息时间：2018-12-11】【字号 "
G351(新草统路段）大桥栏杆建设及文化打造工程中标结果公告,,,,"
				                【信息时间：2018-12-11】【字号 "
重庆市开州区铁桥中学标准化建设项目—教学楼、行政办公楼中标结果公告,招标代理机构：,重庆市闰强建设工程有限公司,1387.030802,"
				                【信息时间：2018-12-11】【字号 "
2018年双凤桥街道四好农村公路（通组泥结石公路）兴大路、三江路项目中标结果公告,,,,"
				                【信息时间：2018-12-11】【字号 "
奔力酒店环境整治工程中标结果公告,重庆临空都市基础设施建设运营有限公司,, ,"
				                【信息时间：2018-12-11】【字号 "
开州区南雅镇雨污分流改造项目监理中标结果公告, ,重庆凯弘工程咨询有限公司,,"
				                【信息时间：2018-12-11】【字号 "
奉节县沿江南路（收费站至白龙）改造工程中标结果公告,重庆奉节路桥有限公司,福建海瑞工程建设有限公司,1102.1869,"
				                【信息时间：2018-12-11】【字号 "
白沙镇流水寺污水整治工程中标结果公告,项目实施单位：重庆市江津区白沙镇人民政府,重庆风清建设工程有限公司,453,"
				                【信息时间：2018-12-11】【字号 "
白沙镇千乘溪污水整治工程中标结果公告, ,重庆市力川建设有限公司,441.850009,"
				                【信息时间：2018-12-11】【字号 "
长岭镇长岭至青石公路路面改造工程,,,,"
				                【信息时间：2018-12-12】【字号 "
万州区双河口移民安置区海绵城市建设工程（一期）——三峡职业学院片区——生态多孔纤维棉材料采购（第二次）,,,,"
				                【信息时间：2018-12-12】【字号 "
开县丰乐小区基础设施完善项目（三标段）-清河路道路白改黑工程中标结果公告,招标代理机构：四川川咨建设工程咨询有限责任公司,重庆新绿水电建设有限责任公司,150,"
				                【信息时间：2018-12-12】【字号 "
重庆市重钢片区百花村隧道道路工程第三方监测中标结果公告,招标代理机构：,重庆南江地质工程勘察设计院,184.9,"
				                【信息时间：2018-12-12】【字号 "
解放碑区域灯饰建设及提升-2018世贸大厦夜景灯饰工程中标结果公告,招标代理机构：,重庆市渝中区第九建筑工程公司,867.234204,"
				                【信息时间：2018-12-12】【字号 "
忠县新生街道香水村农村移民安置区精准帮扶项目居民点道路交通等设施、人蓄饮水设施、公共服务设施及边坡治理完善工程中标结果公告,忠县人民政府新生街道办事处,重庆市忠县建筑工程有限公司,258.944615,"
				                【信息时间：2018-12-12】【字号 "
广兴镇2018年农村小康路（全域旅游公路）建设项目中标结果公告,招标代理机构：重庆永鑫工程项目管理有限公司,重庆乾和建筑工程有限公司,1200.092535,"
				                【信息时间：2018-12-12】【字号 "
龙田乡中安村中坪安置点护坡治理工程中标结果公告,城口县龙田乡人民政府,江西南方隧道工程有限公司 ,263,"
				                【信息时间：2018-12-12】【字号 "
彭水县鞍子镇红星村土地整理项目等2个土地整理项目二标段中标结果公告,招标代理机构：重庆金强工程招标代理有限公司 ,四川龙飞合建设工程有限公司,558.499175,"
				                【信息时间：2018-12-12】【字号 "
彭水县鞍子镇红星村土地整理项目等2个土地整理项目一标段中标结果公告,招标代理机构：重庆金强工程招标代理有限公司 ,四川龙飞合建设工程有限公司,558.499175,"
				                【信息时间：2018-12-12】【字号 "
桃花溪石坪桥支流排水整治工程测绘（第二次）中标结果公告,得分,重庆中科勘测设计有限公司,,"
				                【信息时间：2018-12-12】【字号 "
江津区白沙镇教育路至光华路、滨江中路至美食街沿线环境综合整治工程招标公告中标结果公告, ,重庆海科交通工程建设有限公司 , 549.853855,"
				                【信息时间：2018-12-12】【字号 "
屏锦镇新桥社区明月路沿街建筑正立面风貌及店招店牌改造项目的中标结果公告,招标代理机构（公章）：,,716.725884,"
				                【信息时间：2018-12-12】【字号 "
万州区2019年农村饮水安全巩固提升工程设计(三标段）,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区2019年农村饮水安全巩固提升工程设计(二标段）,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区2019年农村饮水安全巩固提升工程设计（一标段）,,,,"
				                【信息时间：2018-12-13】【字号 "
太安镇梯田小镇基础设施及功能配套项目（子项目观凤环境综合整治及小镇标识一期）,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区2019年农村饮水安全巩固提升工程设计(四标段）,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区2019年农村饮水安全巩固提升工程设计(五标段),,,,"
				                【信息时间：2018-12-13】【字号 "
万州区分水镇2018年第一批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区2019年农村饮水安全巩固提升工程设计（一标段）,,,,"
				                【信息时间：2018-12-13】【字号 "
万州区新田镇幸家村2018年第一批财政涉农资金“四好农村路”通组公路建设工程,,,,"
				                【信息时间：2018-12-14】【字号 "
奉节县建筑垃圾消纳场建设工程设计中标结果公告,奉节县,中铁十一局集团第五工程有限公司,,"
				                【信息时间：2018-12-14】【字号 "
奉节县G242长凼子隧道机电整治工程中标结果公告,奉节县桥隧管理所,四川中建建业工程有限责任公司,3370778.00 ,"
				                【信息时间：2018-12-14】【字号 "
忠县国网重庆忠县供电公司运检用房项目中标结果公告,招标代理机构：,重庆远华建筑有限公司,1379.742923,"
				                【信息时间：2018-12-13】【字号 "
奉节县夔门街道袁梁社区农村移民安置区精准帮扶项目中标结果公告,奉节县夔门街道办事处 , 重庆市仁信建筑工程有限公司,2623805.00,"
				                【信息时间：2018-12-13】【字号 "
奉节县安坪镇三沱村农村移民安置区精准帮扶项目中标结果公告,奉节县安坪镇人民政府,四川省天磊迅建筑工程有限公司,767.570591,"
				                【信息时间：2018-12-13】【字号 "
奉节县康乐镇横路村农村移民安置区精准帮扶项目中标结果公告,奉节县康乐镇人民政府,四川集多隆建筑工程有限公司,525.538700,"
				                【信息时间：2018-12-13】【字号 "
