帖子名称,发帖人ID,发帖人progression,发帖时间,发帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following,回帖人ID,回帖人progression,回帖时间,回帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,er9213,master,2019-04-01T08:12:47.187Z,37,64,60,4,78,北京市-中国,2016-07-19T12:51:20.627Z,27,7
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,Fredrik Jonsson,expert,2019-03-21T15:04:55.65Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Aditya Soni,expert,2019-04-04T12:03:15.563Z,3901,895,877,18,888,Kolkata-India,2016-12-14T08:49:11.583Z,103,81
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,CPMP,grandmaster,2019-04-11T08:13:36.277Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,interneuron,master,2019-04-11T13:48:38.993Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
Summarize the tournament in one image,B H,contributor,2019-04-02T23:40:26.487Z,697,81,63,18,80,Paris-France,2017-11-01T22:00:53.033Z,6,8,interneuron,master,2019-04-03T00:23:30.063Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
One Quarter Magic Club,Chua Cheng Hong,contributor,2019-04-03T12:28:29.13Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,Dalton Hall,expert,2019-04-03T14:40:35.757Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3
this compete really makes ME despairing ,Orange,expert,2019-04-07T16:13:44.06Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,Murat Korkmaz,expert,2019-04-07T17:06:10.233Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27
what is the var_x?,Can Akyıldırım,novice,2019-04-03T17:22:13.8Z,,1,0,1,1,Eskişehir-Turkey,2018-04-13T14:26:54.377Z,0,2,CoreyLevinson,master,2019-04-03T18:18:19.667Z,13,674,644,30,851,Chicago-United States,2017-08-29T20:50:01.603Z,49,24
Association analysis reveals some patterns,Narine,novice,2019-04-05T04:38:13.59Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1,Narine,novice,2019-04-05T14:26:40.603Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,𝒟𝒾𝓂𝑒𝓃𝓈𝒾𝑜𝓃,contributor,2019-04-01T06:13:41.88Z,1009,47,43,4,29,Udaipur-India,2018-02-06T09:14:26.127Z,9,2
Need more teams to compensate the climbing LB,Strideradu,master,2019-04-01T22:24:03.723Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Manoj,expert,2019-04-02T17:32:37.143Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,Daniel Möller,expert,2019-03-29T02:46:06.997Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,zxyu,contributor,2019-04-01T06:41:00.163Z,1332,14,13,1,9,Hangzhou-China,2017-11-16T14:35:56.95Z,0,2
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,RVPrakash,novice,2019-03-21T17:11:02.06Z,2387,47,44,3,30,-India,2017-07-16T16:00:45.29Z,0,2
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Luca Massaron,master,2019-04-11T15:03:27.467Z,95,76,65,11,148,Verona-IT,2011-10-26T10:46:25.573Z,93,7
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Giba,grandmaster,2019-04-11T13:31:03.08Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
Summarize the tournament in one image,B H,contributor,2019-04-02T23:40:26.487Z,697,81,63,18,80,Paris-France,2017-11-01T22:00:53.033Z,6,8,JM100,expert,2019-04-03T03:41:05.02Z,1501,160,131,29,199,Fes-Morocco,2018-09-11T15:26:46.917Z,8,43
this compete really makes ME despairing ,Orange,expert,2019-04-07T16:13:44.06Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,timetraveller,contributor,2019-04-07T17:19:03.877Z,258,26,26,0,41,Delhi-India,2018-09-11T19:09:35.793Z,1,6
Association analysis reveals some patterns,Narine,novice,2019-04-05T04:38:13.59Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1,Narine,novice,2019-04-05T14:28:03.487Z,6126,3,2,1,0,-,2018-11-27T16:53:10.237Z,0,1
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Ilya Khristoforov,expert,2019-03-31T16:37:06.907Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,Ilya Khristoforov,expert,2019-03-29T06:42:03.143Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,synergy37ai,expert,2019-04-02T07:00:20.38Z,,339,323,16,134,Bangalore-India,2018-01-15T10:39:55.217Z,13,50
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,CPMP,grandmaster,2019-03-24T09:51:21.077Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Chippy,master,2019-04-11T07:36:01.083Z,1484,300,283,17,780,-United Kingdom,2011-08-17T21:21:37.147Z,262,6
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Anand Selvadurai,contributor,2019-04-11T08:23:52.313Z,1167,2,2,0,2,Chennai-India,2017-11-13T04:47:18.357Z,14,17
Summarize the tournament in one image,B H,contributor,2019-04-02T23:40:26.487Z,697,81,63,18,80,Paris-France,2017-11-01T22:00:53.033Z,6,8,A.Barqawi,expert,2019-04-03T09:25:55.27Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1
this compete really makes ME despairing ,Orange,expert,2019-04-07T16:13:44.06Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,Liu123,expert,2019-04-09T05:32:03.383Z,199,28,24,4,16,Changsha-China,2018-03-08T05:04:11.607Z,3,10
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Grzegorz Sionkowski,expert,2019-03-31T16:20:04.657Z,1512,402,391,11,822,Toruń-PL,2015-05-29T17:50:42.263Z,78,7
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,MT,expert,2019-03-29T13:28:54.363Z,213,80,74,6,102,Dundee-United Kingdom,2016-02-05T14:55:24.803Z,5,4
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,Jake Souter,novice,2019-04-02T09:34:14.81Z,5346,2,2,0,2,-,2019-01-25T23:32:14.883Z,0,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Chua Cheng Hong,contributor,2019-04-11T01:47:33.44Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,MLの王 (*•̀ᴗ•́*)و ̑,novice,2019-04-12T22:47:55.41Z,,1,1,0,0,Tours-France,2018-07-25T14:15:37.797Z,0,0
Summarize the tournament in one image,B H,contributor,2019-04-02T23:40:26.487Z,697,81,63,18,80,Paris-France,2017-11-01T22:00:53.033Z,6,8,kojimar,expert,2019-04-03T10:49:27.157Z,292,17,17,0,5,Tokyo-Japan,2018-04-08T10:13:44.813Z,4,6
this compete really makes ME despairing ,Orange,expert,2019-04-07T16:13:44.06Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6,MT,expert,2019-04-09T06:58:28.94Z,213,80,74,6,102,Dundee-United Kingdom,2016-02-05T14:55:24.803Z,5,4
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Allunia,expert,2019-04-01T05:40:44.21Z,1009,106,105,1,97,Köln-Germany,2015-11-04T11:24:56.433Z,319,41
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,Im Owl,contributor,2019-04-02T11:51:50.3Z,1354,1,1,0,0,Istanbul-Turkey,2019-04-02T11:50:15.813Z,0,2
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Chuanle Dou,expert,2019-04-11T01:44:41.857Z,113,21,18,3,25,Tianjin-China,2018-01-15T06:54:40.5Z,2,8
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Manoj,expert,2019-03-31T16:09:27.123Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,KaiWen,novice,2019-04-05T05:53:41.197Z,,1,1,0,0,Kuala Lumpur-Malaysia,2019-04-04T05:31:57.953Z,0,3
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Aditya Soni,expert,2019-04-11T16:37:52.277Z,3901,895,877,18,888,Kolkata-India,2016-12-14T08:49:11.583Z,103,81
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Kamal Chhirang,expert,2019-04-01T11:08:26.41Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Doruk,contributor,2019-04-11T09:14:59.603Z,1831,20,19,1,13,Istanbul-Turkey,2018-02-09T12:11:32.317Z,0,1
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Balázs Tószegi,contributor,2019-04-01T16:55:30.51Z,,3,2,1,0,Budapest-Hungary,2019-02-18T09:34:04.78Z,0,3
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,datasaurus,contributor,2019-04-11T08:06:51.637Z,220,71,63,8,79,-,2015-09-18T16:45:03.93Z,9,10
Do you upvote kernels/discussion posts that help you to improve your score?,Kamal Chhirang,expert,2019-03-31T15:57:45.693Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Brach,expert,2019-04-01T22:28:27Z,1611,52,50,2,49,Austin-United States,2015-04-01T18:10:44.527Z,0,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Manoj,expert,2019-04-11T07:26:30.89Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,CPMP,grandmaster,2019-04-11T07:14:58.657Z,15,5018,4781,237,12234,-France,2012-12-16T12:03:05.527Z,2106,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Giba,grandmaster,2019-04-11T13:04:16.343Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,TK,contributor,2019-04-11T21:02:03.113Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Manoj,expert,2019-04-11T15:11:29.157Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Jacek Poplawski,expert,2019-04-11T14:05:49.003Z,2743,411,364,47,445,Wrocław-Polska,2017-06-24T00:01:35.793Z,17,20
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Dmitry Dryomov,master,2019-04-11T13:26:26.043Z,22,188,159,29,300,Tel Aviv-Yafo-Israel,2010-02-28T22:25:31Z,26,0
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Manoj,expert,2019-04-11T13:16:09.773Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,YaGana Sheriff-Hussaini,expert,2019-04-12T02:16:27.693Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
What should be the gaps between train AUC and valid AUC,Yunpeng Cai,novice,2019-04-08T12:28:51.31Z,100,24,23,1,12,Aarhus-Denmark,2018-12-31T23:16:22.25Z,1,0,Psi,expert,2019-04-08T14:23:31.03Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
What should be the gaps between train AUC and valid AUC,Yunpeng Cai,novice,2019-04-08T12:28:51.31Z,100,24,23,1,12,Aarhus-Denmark,2018-12-31T23:16:22.25Z,1,0,Ilu,expert,2019-04-08T14:33:44.63Z,58,255,249,6,394,Aachen-Germany,2019-01-05T19:17:10.167Z,11,1
Why team number still is increasing?,YonglinZhu,contributor,2019-04-10T15:23:51.007Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,ONODERA,grandmaster,2019-04-10T15:26:27.533Z,2,283,262,21,1121,Shibuya-Japan,2015-03-24T03:37:35.103Z,581,47
Some thoughts,shenggang Li,expert,2019-04-07T03:01:19.843Z,3827,11,5,6,13,-Canada,2010-09-01T13:45:30Z,5,0,YaGana Sheriff-Hussaini,expert,2019-04-07T06:08:35.673Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
Awesome thing on Interpretability,Manoj,expert,2019-04-05T15:21:00.953Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,CPMP,grandmaster,2019-04-06T07:20:08.057Z,15,5018,4781,237,12234,-France,2012-12-16T12:03:05.527Z,2106,0
"Not Magic, But Motivation Is All We Need",Shahebaz,master,2019-04-04T13:57:50.007Z,146,481,431,50,1341,Hyderabad-India,2017-07-08T15:47:54.99Z,258,12,KALE,master,2019-04-04T17:35:48.273Z,20,121,118,3,153,New Jersey-United States,2016-02-28T16:55:27.103Z,137,393
What should be the gaps between train AUC and valid AUC,Yunpeng Cai,novice,2019-04-08T12:28:51.31Z,100,24,23,1,12,Aarhus-Denmark,2018-12-31T23:16:22.25Z,1,0,X8X8D3N9,expert,2019-04-08T23:58:09.45Z,107,44,41,3,18,Tallahassee-USA,2017-11-01T03:33:59.867Z,3,8
magic,user_dubai,novice,2019-04-10T13:59:34.123Z,5276,3,1,2,-19,-,2018-12-21T01:14:49.537Z,0,0,Giba,grandmaster,2019-04-10T16:32:19.027Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
What LGBM does not see? ,kjahierlesurtel,novice,2019-04-09T13:11:19.687Z,5599,5,3,2,2,-,2019-03-06T14:17:46.08Z,0,0,Daniel Möller,expert,2019-04-09T15:05:14.443Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
Some thoughts,shenggang Li,expert,2019-04-07T03:01:19.843Z,3827,11,5,6,13,-Canada,2010-09-01T13:45:30Z,5,0,George Okromchedlishvili,expert,2019-04-08T16:25:02.763Z,183,67,59,8,76,Moscow-Russia,2018-12-27T14:58:41.313Z,4,3
Need help with this LGB error,gaoxuxin,contributor,2019-04-10T03:48:40.24Z,3569,9,6,3,5,Singapore-,2019-03-20T15:12:04.883Z,1,1,CPMP,grandmaster,2019-04-10T04:30:24.09Z,15,5018,4781,237,12235,-France,2012-12-16T12:03:05.527Z,2106,0
Awesome thing on Interpretability,Manoj,expert,2019-04-05T15:21:00.953Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,Akash Ravichandran,expert,2019-04-06T07:17:34.4Z,721,123,105,18,116,Chennai-India,2017-11-27T06:50:59.683Z,13,194
"Not Magic, But Motivation Is All We Need",Shahebaz,master,2019-04-04T13:57:50.007Z,146,481,431,50,1341,Hyderabad-India,2017-07-08T15:47:54.99Z,258,12,Psi,expert,2019-04-04T17:01:22.083Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
What Competition you will do next?,YonglinZhu,contributor,2019-04-06T13:53:50.293Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,interneuron,master,2019-04-07T04:42:46.863Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
"Really mismatched metrics, CV 0.902 , LB 0.897 and Train AUC at 0.97ish",zcistkidd,expert,2019-04-10T00:48:37.71Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15,E.Y,expert,2019-04-10T00:51:37.587Z,127,34,32,2,45,Sydney-Australia,2017-10-17T05:07:37.837Z,1,26
"Less is more, more is less",Attosecond,master,2019-04-08T22:19:50.387Z,96,141,128,13,145,London-UK,2016-02-16T11:18:06.993Z,61,2,Daniel Möller,expert,2019-04-09T15:12:38.31Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
Team The ZOO - Truly Inspiring.,Balaji SR,expert,2019-04-05T13:25:42.54Z,,37,34,3,45,Chennai-India,2015-04-02T11:15:22.277Z,4,0,CPMP,grandmaster,2019-04-05T13:44:54.48Z,15,5018,4781,237,12235,-France,2012-12-16T12:03:05.527Z,2106,0
magic,user_dubai,novice,2019-04-10T13:59:34.123Z,5276,3,1,2,-19,-,2018-12-21T01:14:49.537Z,0,0,A.L.,master,2019-04-10T15:25:37.74Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111
Need help with this LGB error,gaoxuxin,contributor,2019-04-10T03:48:40.24Z,3569,9,6,3,5,Singapore-,2019-03-20T15:12:04.883Z,1,1,CPMP,grandmaster,2019-04-10T05:48:30.487Z,15,5018,4781,237,12235,-France,2012-12-16T12:03:05.527Z,2106,0
Awesome thing on Interpretability,Manoj,expert,2019-04-05T15:21:00.953Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,dhaqui the kaggler,expert,2019-04-05T20:02:36.593Z,1016,156,153,3,86,Tokyo-Japan,2018-11-19T07:36:04.663Z,9,6
"Not Magic, But Motivation Is All We Need",Shahebaz,master,2019-04-04T13:57:50.007Z,146,481,431,50,1341,Hyderabad-India,2017-07-08T15:47:54.99Z,258,12,Peng ,contributor,2019-04-04T18:35:02.093Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1
What Competition you will do next?,YonglinZhu,contributor,2019-04-06T13:53:50.293Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,CPMP,grandmaster,2019-04-06T19:02:06.377Z,15,5018,4781,237,12235,-France,2012-12-16T12:03:05.527Z,2106,0
"Really mismatched metrics, CV 0.902 , LB 0.897 and Train AUC at 0.97ish",zcistkidd,expert,2019-04-10T00:48:37.71Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15,bearstrikesback,expert,2019-04-10T01:46:17.293Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0
"Less is more, more is less",Attosecond,master,2019-04-08T22:19:50.387Z,96,141,128,13,145,London-UK,2016-02-16T11:18:06.993Z,61,2,E.Y,expert,2019-04-08T22:37:47.233Z,127,34,32,2,45,Sydney-Australia,2017-10-17T05:07:37.837Z,1,26
Team The ZOO - Truly Inspiring.,Balaji SR,expert,2019-04-05T13:25:42.54Z,,37,34,3,45,Chennai-India,2015-04-02T11:15:22.277Z,4,0,Psi,expert,2019-04-05T13:52:55.273Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
magic,user_dubai,novice,2019-04-10T13:59:34.123Z,5276,3,1,2,-19,-,2018-12-21T01:14:49.537Z,0,0,interneuron,master,2019-04-10T17:49:55.177Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
How do i make my final submission?,Gunia John,novice,2019-04-10T06:31:01.287Z,4224,9,0,9,5,-,2019-01-10T12:35:03.787Z,2,2,Chris Deotte,master,2019-04-10T08:44:32.537Z,50,1707,1676,31,4648,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
CV-0.912，but...,ankus_wu,contributor,2019-04-10T04:37:49.957Z,1187,8,7,1,0,Guangzhou-China,2018-08-18T12:16:56.633Z,2,0,zeyu wang,contributor,2019-04-10T04:47:26.983Z,256,10,8,2,11,Tokyo-Japan,2014-10-13T13:36:05.8Z,0,1
Is magic has been harnessed optimally ?,Manoj,expert,2019-04-08T12:38:31.01Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,TK,contributor,2019-04-08T17:32:01.407Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5
XX Model is capable of XX,Xu,contributor,2019-03-29T03:05:27.02Z,,10,7,3,110,Chiyoda-Japan,2015-05-07T01:30:19.44Z,3,9,Chris Deotte,master,2019-03-29T04:40:12.13Z,50,1707,1676,31,4648,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
4 things I will remember from this competition ,AmirH,expert,2019-04-04T17:15:11.663Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1,Scirpus,grandmaster,2019-04-04T18:51:10.717Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0
Variable Interactions as a result of 400 seperate models,Haydar Ozler,contributor,2019-04-06T20:29:29.61Z,2712,24,18,6,28,İstanbul-Türkiye,2017-10-14T17:03:30.203Z,7,2,Güneş Evitan,contributor,2019-04-07T11:24:02.22Z,2521,17,15,2,14,Ankara-Turkey,2019-01-15T13:12:55.71Z,5,3
Sacrifices for the Santander: Whatever it takes,tarick.morty,contributor,2019-04-09T06:01:55.03Z,588,10,8,2,3,Kharagpur-India,2017-09-01T13:28:55.767Z,0,0,CPMP,grandmaster,2019-04-09T12:38:47.263Z,15,5018,4781,237,12235,-France,2012-12-16T12:03:05.527Z,2106,0
Awesome thing on Interpretability,Manoj,expert,2019-04-05T15:21:00.953Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,YaGana Sheriff-Hussaini,expert,2019-04-05T18:14:01.817Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
"Not Magic, But Motivation Is All We Need",Shahebaz,master,2019-04-04T13:57:50.007Z,146,481,431,50,1341,Hyderabad-India,2017-07-08T15:47:54.99Z,258,12,AmanKapoor,expert,2019-04-04T18:01:45.383Z,146,75,66,9,51,Delhi-India,2015-10-28T19:29:39.767Z,38,80
What Competition you will do next?,YonglinZhu,contributor,2019-04-06T13:53:50.293Z,410,17,12,5,21,Raleigh-USA,2016-10-11T04:32:47.34Z,1,14,X8X8D3N9,expert,2019-04-08T01:32:38.307Z,107,44,41,3,18,Tallahassee-USA,2017-11-01T03:33:59.867Z,3,8
"Less is more, more is less",Attosecond,master,2019-04-08T22:19:50.387Z,96,141,128,13,145,London-UK,2016-02-16T11:18:06.993Z,61,2,Yifan Xie,master,2019-04-09T07:05:26.87Z,15,440,411,29,1378,Bristol-GB,2013-12-19T12:19:19.207Z,374,50
Team The ZOO - Truly Inspiring.,Balaji SR,expert,2019-04-05T13:25:42.54Z,,37,34,3,45,Chennai-India,2015-04-02T11:15:22.277Z,4,0,MKotarba,contributor,2019-04-05T16:28:35.557Z,1493,19,19,0,108,Kraków-Poland,2017-10-25T11:23:56.957Z,0,10
